t_s,bpm
0.162,769.2307692307693
0.194,1875.0
0.258,937.5
0.28,2727.2727272727275
0.3,3000.0
0.344,1363.6363636363637
0.382,1578.9473684210527
0.422,1500.0
0.52,612.2448979591836
0.54,3000.0
0.618,769.2307692307693
0.682,937.5
0.7,3333.3333333333335
0.74,1500.0
0.76,3000.0
0.776,3750.0
0.8,2500.0
0.82,3000.0
0.842,2727.2727272727275
0.876,1764.705882352941
0.9,2500.0
1.018,508.4745762711865
1.08,967.741935483871
1.104,2500.0
1.142,1578.9473684210527
1.2,1034.4827586206895
1.238,1578.9473684210527
1.258,3000.0
1.3,1428.5714285714284
1.318,3333.3333333333335
1.38,967.741935483871
1.438,1034.4827586206895
1.482,1363.6363636363637
1.5,3333.3333333333335
1.52,3000.0
1.54,3000.0
1.558,3333.3333333333335
1.6,1428.5714285714284
1.618,3333.3333333333335
1.64,2727.2727272727275
1.662,2727.2727272727275
1.702,1500.0
1.78,769.2307692307693
1.8,3000.0
1.822,2727.2727272727275
1.858,1666.6666666666667
1.896,1578.9473684210527
1.936,1500.0
2.0,937.5
2.04,1500.0
2.12,750.0
2.136,3750.0
2.22,714.2857142857142
2.238,3333.3333333333335
2.258,3000.0
2.28,2727.2727272727275
2.298,3333.3333333333335
2.32,2727.2727272727275
2.336,3750.0
2.52,326.0869565217391
2.558,1578.9473684210527
2.602,1363.6363636363637
2.642,1500.0
2.7,1034.4827586206895
2.74,1500.0
2.78,1500.0
2.84,1000.0
2.882,1428.5714285714284
2.98,612.2448979591836
3.038,1034.4827586206895
3.056,3333.3333333333335
3.078,2727.2727272727275
3.118,1500.0
3.158,1500.0
3.194,1666.6666666666667
3.258,937.5
3.278,3000.0
3.342,937.5
3.382,1500.0
3.422,1500.0
3.438,3750.0
3.474,1666.6666666666667
3.498,2500.0
3.6,588.2352941176471
3.68,750.0
3.72,1500.0
3.736,3750.0
3.778,1428.5714285714284
3.8,2727.2727272727275
3.82,3000.0
3.862,1428.5714285714284
3.918,1071.4285714285713
3.994,789.4736842105264
4.016,2727.2727272727275
4.038,2727.2727272727275
4.066,2142.8571428571427
4.14,810.8108108108108
4.178,1578.9473684210527
4.2,2727.2727272727275
4.238,1578.9473684210527
4.258,3000.0
4.282,2500.0
4.322,1500.0
4.34,3333.3333333333335
4.422,731.7073170731707
4.438,3750.0
4.48,1428.5714285714284
4.54,1000.0
4.6,1000.0
4.698,612.2448979591836
4.738,1500.0
4.778,1500.0
4.862,714.2857142857142
4.88,3333.3333333333335
4.9,3000.0
4.936,1666.6666666666667
4.978,1428.5714285714284
5.038,1000.0
5.056,3333.3333333333335
5.136,750.0
5.176,1500.0
5.214,1578.9473684210527
5.238,2500.0
5.258,3000.0
5.4,422.5352112676057
5.422,2727.2727272727275
5.476,1111.111111111111
5.56,714.2857142857142
5.58,3000.0
5.598,3333.3333333333335
5.652,1111.111111111111
5.678,2307.6923076923076
5.718,1500.0
5.758,1500.0
5.92,370.3703703703704
5.938,3333.3333333333335
5.978,1500.0
5.996,3333.3333333333335
6.02,2500.0
6.084,937.5
6.1,3750.0
6.114,4285.714285714285
6.138,2500.0
6.168,2000.0
6.238,857.1428571428571
6.258,3000.0
6.32,967.741935483871
6.438,508.4745762711865
6.54,588.2352941176471
6.576,1666.6666666666667
6.598,2727.2727272727275
6.642,1363.6363636363637
6.678,1666.6666666666667
6.776,612.2448979591836
