t_s,r_amp
0.084,-0.02057
0.162,0.06667
0.194,0.02898
0.258,0.12673
0.28,0.13158
0.3,0.13041
0.344,0.30651
0.382,0.1044
0.422,0.04119
0.52,-0.04349
0.54,-0.03005
0.618,0.08073
0.682,0.04438
0.7,0.0606
0.74,0.06451
0.76,0.05737
0.776,0.05782
0.8,0.06379
0.82,0.08046
0.842,0.07767
0.876,0.08463
0.9,0.08338
1.018,0.07709
1.08,0.04353
1.104,0.32088
1.142,-0.05112
1.2,0.05301
1.238,0.0438
1.258,0.04843
1.3,0.03315
1.318,0.03818
1.38,0.0801
1.438,-0.0274
1.482,-0.01527
1.5,-0.0124
1.52,-0.0217
1.54,-0.02655
1.558,-0.02381
1.6,-0.00952
1.618,-0.00103
1.64,-0.00467
1.662,0.00076
1.702,-0.02556
1.78,0.08437
1.8,0.08221
1.822,0.08001
1.858,0.37645
1.896,-0.0553
1.936,0.09793
2.0,0.0571
2.04,0.05552
2.12,0.15112
2.136,0.15211
2.22,0.04614
2.238,0.04057
2.258,0.03827
2.28,0.023
2.298,0.01447
2.32,0.00485
2.336,0.00368
2.52,-0.00175
2.558,0.01375
2.602,0.31756
2.642,-0.16249
2.7,0.00162
2.74,-0.01622
2.78,-0.03234
2.84,0.04115
2.882,0.10045
2.98,0.05975
3.038,0.023
3.056,0.0212
3.078,0.02875
3.118,0.03482
3.158,0.01887
3.194,-0.04353
3.258,0.08895
3.278,0.10341
3.342,0.41792
3.382,-0.04847
3.422,0.13984
3.438,0.154
3.474,0.13077
3.498,0.13014
3.6,0.14753
3.68,0.00557
3.72,0.00755
3.736,-0.00593
3.778,0.00166
3.8,-0.00198
3.82,-0.01608
3.862,0.00395
3.918,-0.03684
3.994,0.03648
4.016,0.02426
4.038,0.0252
4.066,0.31774
4.14,0.0469
4.178,0.04128
4.2,0.03145
4.238,0.05265
4.258,0.0323
4.282,0.03971
4.322,0.09883
4.34,0.10009
4.422,-0.01478
4.438,0.00485
4.48,0.01132
4.54,0.0323
4.6,0.03495
4.698,0.05112
4.738,0.03414
4.778,0.3314
4.862,0.06536
4.88,0.0717
4.9,0.06437
4.936,0.06932
4.978,0.07242
5.038,0.13773
5.056,0.13818
5.136,-0.01271
5.176,-0.0257
5.214,-0.00952
5.238,-0.02484
5.258,-0.02911
5.4,-0.09865
5.422,-0.09052
5.476,0.26522
5.56,0.05665
5.58,0.07363
5.598,0.06056
5.652,0.03747
5.678,0.02219
5.718,0.02399
5.758,0.03827
5.92,0.04268
5.938,0.04344
5.978,0.06824
5.996,0.08068
6.02,0.0482
6.084,0.07277
6.1,0.0721
6.114,0.06846
6.138,0.05193
6.168,0.37043
6.238,0.11761
6.258,0.11914
6.32,0.11532
6.438,0.22731
6.54,0.05346
6.576,0.04546
6.598,0.04416
6.642,-0.02017
6.678,0.00252
6.776,0.05323
6.802,0.04438
6.822,0.05921
6.852,0.41217
